"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation"
"51","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:5161369","Capparis tomentosa","Plantae | Tracheophyta | Magnoliopsida | Brassicales | Capparaceae | Capparis | Capparis tomentosa",NA,NA,NA,NA,NA
"52","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:2880476","Cissus quadrangularis","Plantae | Tracheophyta | Magnoliopsida | Vitales | Vitaceae | Cissus | Cissus quadrangularis",NA,NA,NA,NA,NA
"53","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:590598","Cissus rotundifolia","Plantae | Tracheophyta | Magnoliopsida | Vitales | Vitaceae | Cissus | Cissus rotundifolia",NA,NA,NA,NA,NA
"54","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:71367","Abutilon","Plantae | Tracheophyta | Magnoliopsida | Malvales | Malvaceae | abutilon",NA,NA,NA,NA,NA
"55","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:61788","Jasminum","Plantae | Tracheophyta | Magnoliopsida | Lamiales | Oleaceae | Jasminum",NA,NA,NA,NA,NA
"56","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:60741","Hibiscus","Plantae | Tracheophyta | Magnoliopsida | Malvales | Malvaceae | hibiscus",NA,NA,NA,NA,NA
"57","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:60627","Ficus","Plantae | Tracheophyta | Magnoliopsida | Rosales | Moraceae | Ficus",NA,NA,NA,NA,NA
"58","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL_V2:59534","Ziziphus","Plantae | Tracheophyta | Magnoliopsida | Rosales | Rhamnaceae | ziziphus",NA,NA,NA,NA,NA
"59","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:38426","Heliotropium","Plantae | Tracheophyta | Magnoliopsida | Boraginales | Boraginaceae | Heliotropium",NA,NA,NA,NA,NA
"60","EOL:326383","Heterohyrax brucei","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Heterohyrax | Heterohyrax brucei",NA,"preysOn","EOL:108024","Aristida","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Aristida",NA,NA,NA,NA,NA
