resource,consumer,body_mass_resource,body_mass_consumer,class_resource,class_consumer,category_resource,category_consumer
Gallus gallus,Bubo virginianus,751.72,1575.7,aves,aves,na,na
Mus musculus,Bubo virginianus,17.775,1575.7,mammals,aves,na,na
Megascops asio,Bubo virginianus,179.99,1575.7,aves,aves,na,na
Rattus norvegicus,Bubo virginianus,310.665,1575.7,mammals,aves,na,na
Cyanocitta cristata,Bubo virginianus,88,1575.7,aves,aves,na,na
Corvus brachyrhynchos,Bubo virginianus,448.76,1575.7,aves,aves,na,na
Bonasa umbellus,Bubo virginianus,530.91,1575.7,aves,aves,na,na
Columba livia,Bubo virginianus,354.2,1575.7,aves,aves,na,na
Sciurus niger,Bubo virginianus,761.9,1575.7,mammals,aves,na,na
Plectrophenax nivalis,Bubo virginianus,42.2,1575.7,aves,aves,na,na
Aythya marila,Bubo virginianus,1005.37,1575.7,aves,aves,na,na
Gallinula chloropus,Bubo virginianus,339.63,1575.7,aves,aves,na,na
Turdus migratorius,Bubo virginianus,79.98562144,1575.7,aves,aves,na,na
Agelaius phoeniceus,Bubo virginianus,50.78,1575.7,aves,aves,na,na
Melospiza melodia,Bubo virginianus,21.91,1575.7,aves,aves,na,na
Euphagus carolinus,Bubo virginianus,59.57,1575.7,aves,aves,na,na
Ondatra zibethicus,Bubo virginianus,1028.875,1575.7,mammals,aves,na,na
Podilymbus podiceps,Bubo virginianus,411.93,1575.7,aves,aves,na,na
Anas platyrhynchos,Bubo virginianus,843.42,1575.7,aves,aves,na,na
Tringa flavipes,Bubo virginianus,77.5,1575.7,aves,aves,na,na
Asio otus,Bubo virginianus,296.57,1575.7,aves,aves,na,na
Rallus elegans,Bubo virginianus,310.6604002,1575.7,aves,aves,na,na
Sciurus carolinensis,Strix varia,526.25,711.49,mammals,aves,na,na
Megascops asio,Strix varia,179.99,711.49,aves,aves,na,na
Bonasa umbellus,Strix varia,530.91,711.49,aves,aves,na,na
Cyanocitta cristata,Strix varia,88,711.49,aves,aves,na,na
Turdus migratorius,Strix varia,79.98562144,711.49,aves,aves,na,na
Mus musculus,Strix varia,17.775,711.49,mammals,aves,na,na
Sciurus niger,Strix varia,761.9,711.49,mammals,aves,na,na
Cyanocitta cristata,Tyto alba,88,403.32,aves,aves,na,na
Rattus norvegicus,Tyto alba,310.665,403.32,mammals,aves,na,na
Rattus norvegicus,Asio otus,310.665,296.57,mammals,aves,na,na
Plectrophenax nivalis,Asio flammeus,42.2,322.61,aves,aves,na,na
Rattus norvegicus,Megascops asio,310.665,179.99,mammals,aves,na,na
Rhinella marina,Dendrocygna autumnalis,106.25,755.3,amphibians,aves,na,na
Notiosorex crawfordi,Tyto alba,4.63,403.32,mammals,aves,na,na
Cryptotis parva,Tyto alba,4.915,403.32,mammals,aves,na,na
Onychomys leucogaster,Tyto alba,27.91,403.32,mammals,aves,na,na
Geomys bursarius,Tyto alba,178.875,403.32,mammals,aves,na,na
Sigmodon hispidus,Tyto alba,101.69,403.32,mammals,aves,na,na
Neotoma micropus,Tyto alba,246.25,403.32,mammals,aves,na,na
Passerculus sandwichensis,Tyto alba,19.97,403.32,aves,aves,na,na
Condylura cristata,Tyto alba,65.55,403.32,mammals,aves,na,na
Passer domesticus,Tyto alba,26.51,403.32,aves,aves,na,na
Ondatra zibethicus,Tyto alba,1028.875,403.32,mammals,aves,na,na
Antrozous pallidus,Tyto alba,21.5,403.32,mammals,aves,bat,na
Sylvilagus floridanus,Tyto alba,1191.395,403.32,mammals,aves,na,na
Zapus trinotatus,Tyto alba,27.5,403.32,mammals,aves,na,na
Rattus rattus,Tyto alba,186.065,403.32,mammals,aves,na,na
Mus musculus,Tyto alba,17.775,403.32,mammals,aves,na,na
Microtus townsendii,Tyto alba,58.425,403.32,mammals,aves,na,na
Microtus oregoni,Tyto alba,20.375,403.32,mammals,aves,na,na
Microtus longicaudus,Tyto alba,45.755,403.32,mammals,aves,na,na
Peromyscus maniculatus,Tyto alba,20.69,403.32,mammals,aves,na,na
Glaucomys sabrinus,Tyto alba,152,403.32,mammals,aves,na,na
Mustela erminea,Tyto alba,201.69,403.32,mammals,aves,na,na
Scapanus townsendii,Tyto alba,140.85,403.32,mammals,aves,na,na
Scapanus orarius,Tyto alba,60.95,403.32,mammals,aves,na,na
Neurotrichus gibbsii,Tyto alba,9.17,403.32,mammals,aves,na,na
Sorex vagrans,Tyto alba,5.89,403.32,mammals,aves,na,na
Sorex trowbridgii,Tyto alba,4.3,403.32,mammals,aves,na,na
Sorex cinereus,Tyto alba,4.4,403.32,mammals,aves,na,na
Sorex fumeus,Tyto alba,7.71,403.32,mammals,aves,na,na
Didelphis virginiana,Tyto alba,2332.74,403.32,mammals,aves,na,na
Tamias striatus,Tyto alba,111.91,403.32,mammals,aves,na,na
Eptesicus fuscus,Tyto alba,16.88,403.32,mammals,aves,bat,na
Mustela nivalis,Tyto alba,91.89,403.32,mammals,aves,na,na
Parascalops breweri,Tyto alba,50.8,403.32,mammals,aves,na,na
Zapus hudsonius,Tyto alba,17.76,403.32,mammals,aves,na,na
Peromyscus leucopus,Tyto alba,19.635,403.32,mammals,aves,na,na
Blarina brevicauda,Tyto alba,23.2,403.32,mammals,aves,na,na
Microtus pennsylvanicus,Tyto alba,39.625,403.32,mammals,aves,na,na
Scalopus aquaticus,Tyto alba,88.93,403.32,mammals,aves,na,na
Microtus ochrogaster,Tyto alba,40.255,403.32,mammals,aves,na,na
Synaptomys cooperi,Tyto alba,29.96,403.32,mammals,aves,na,na
Neofiber alleni,Tyto alba,265.5,403.32,mammals,aves,na,na
Peromyscus gossypinus,Tyto alba,28.545,403.32,mammals,aves,na,na
Oryzomys palustris,Tyto alba,53.54,403.32,mammals,aves,na,na
Glaucomys volans,Tyto alba,67.935,403.32,mammals,aves,na,na
Junco hyemalis,Tyto alba,19.5,403.32,aves,aves,na,na
Reithrodontomys humulis,Tyto alba,8.28,403.32,mammals,aves,na,na
Spizella pusilla,Tyto alba,12.5,403.32,aves,aves,na,na
Cardinalis cardinalis,Tyto alba,42.64,403.32,aves,aves,na,na
Mimus polyglottos,Tyto alba,47.6602606,403.32,aves,aves,na,na
Zonotrichia albicollis,Tyto alba,24.4,403.32,aves,aves,na,na
Colinus virginianus,Tyto alba,177.6874419,403.32,aves,aves,na,na
Turdus migratorius,Tyto alba,79.98562144,403.32,aves,aves,na,na
Melospiza melodia,Tyto alba,21.91,403.32,aves,aves,na,na
Pipilo erythrophthalmus,Tyto alba,40.03,403.32,aves,aves,na,na
Molothrus ater,Tyto alba,42.02651747,403.32,aves,aves,na,na
Quiscalus quiscula,Tyto alba,105.18,403.32,aves,aves,na,na
Sorex longirostris,Tyto alba,3.38,403.32,mammals,aves,na,na
Microtus pinetorum,Tyto alba,26.14,403.32,mammals,aves,na,na
Agelaius phoeniceus,Tyto alba,50.78,403.32,aves,aves,na,na
Blarina carolinensis,Tyto alba,12.55,403.32,mammals,aves,na,na
Spiza americana,Tyto alba,26.18,403.32,aves,aves,na,na
Bombycilla cedrorum,Tyto alba,31.58,403.32,aves,aves,na,na
Molossus molossus,Pitangus sulphuratus,13.69,62.85,mammals,aves,bat,na
Physalaemus albonotatus,Pitangus sulphuratus,2.3,62.85,amphibians,aves,na,na
Sigmodon hispidus,Bubo virginianus,101.69,1575.7,mammals,aves,na,na
Chaetodipus hispidus,Bubo virginianus,32,1575.7,mammals,aves,na,na
Neotoma micropus,Bubo virginianus,246.25,1575.7,mammals,aves,na,na
Rattus rattus,Bubo virginianus,186.065,1575.7,mammals,aves,na,na
Cryptotis parva,Bubo virginianus,4.915,1575.7,mammals,aves,na,na
Tympanuchus phasianellus,Bubo virginianus,882.38,1575.7,aves,aves,na,na
Lepus americanus,Bubo virginianus,1640.01,1575.7,mammals,aves,na,na
Euphagus cyanocephalus,Bubo virginianus,62.48,1575.7,aves,aves,na,na
Tadarida brasiliensis,Bubo virginianus,12.345,1575.7,mammals,aves,bat,na
Mustela frenata,Bubo virginianus,169,1575.7,mammals,aves,na,na
Sylvilagus floridanus,Bubo virginianus,1191.395,1575.7,mammals,aves,na,na
Lepus townsendii,Bubo virginianus,2467.5,1575.7,mammals,aves,na,na
Sturnella neglecta,Tyto alba,100.06,403.32,aves,aves,na,na
Sturnus vulgaris,Tyto alba,77.14,403.32,aves,aves,na,na
Columba livia,Tyto alba,354.2,403.32,aves,aves,na,na
Microtus montanus,Tyto alba,39.615,403.32,mammals,aves,na,na
Neotoma cinerea,Tyto alba,292.575,403.32,mammals,aves,na,na
Reithrodontomys megalotis,Tyto alba,10.035,403.32,mammals,aves,na,na
Dipodomys ordii,Tyto alba,55.4,403.32,mammals,aves,na,na
Perognathus parvus,Tyto alba,21.59,403.32,mammals,aves,na,na
Thomomys talpoides,Tyto alba,117.54,403.32,mammals,aves,na,na
Sturnella neglecta,Bubo virginianus,100.06,1575.7,aves,aves,na,na
Tyto alba,Bubo virginianus,403.32,1575.7,aves,aves,na,na
Charadrius vociferus,Bubo virginianus,96.44,1575.7,aves,aves,na,na
Fulica americana,Bubo virginianus,636.74,1575.7,aves,aves,na,na
Phasianus colchicus,Bubo virginianus,1120.31,1575.7,aves,aves,na,na
Microtus montanus,Bubo virginianus,39.615,1575.7,mammals,aves,na,na
Neotoma cinerea,Bubo virginianus,292.575,1575.7,mammals,aves,na,na
Peromyscus maniculatus,Bubo virginianus,20.69,1575.7,mammals,aves,na,na
Reithrodontomys megalotis,Bubo virginianus,10.035,1575.7,mammals,aves,na,na
Dipodomys ordii,Bubo virginianus,55.4,1575.7,mammals,aves,na,na
Perognathus parvus,Bubo virginianus,21.59,1575.7,mammals,aves,na,na
Thomomys talpoides,Bubo virginianus,117.54,1575.7,mammals,aves,na,na
Sylvilagus nuttallii,Bubo virginianus,780.045,1575.7,mammals,aves,na,na
Sceloporus occidentalis,Tyto alba,13.49958843,403.32,reptilia,aves,na,na
Chaetodipus californicus,Tyto alba,22,403.32,mammals,aves,na,na
Perognathus inornatus,Tyto alba,10.54,403.32,mammals,aves,na,na
Elgaria multicarinata,Bubo virginianus,39.33958162,1575.7,reptilia,aves,na,na
Sceloporus occidentalis,Bubo virginianus,13.49958843,1575.7,reptilia,aves,na,na
Lampropeltis getula,Bubo virginianus,254.5022718,1575.7,reptilia,aves,na,na
Crotalus viridis,Bubo virginianus,679.1396015,1575.7,reptilia,aves,na,na
Coluber lateralis,Bubo virginianus,123.6838176,1575.7,reptilia,aves,na,na
Pituophis catenifer,Bubo virginianus,497.1560436,1575.7,reptilia,aves,na,na
Icterus bullockii,Bubo virginianus,34.29533613,1575.7,aves,aves,na,na
Junco hyemalis,Bubo virginianus,19.5,1575.7,aves,aves,na,na
Melanerpes formicivorus,Bubo virginianus,79.62,1575.7,aves,aves,na,na
Sialia mexicana,Bubo virginianus,26.44,1575.7,aves,aves,na,na
Pipilo maculatus,Bubo virginianus,39.28,1575.7,aves,aves,na,na
Falco sparverius,Bubo virginianus,114.61,1575.7,aves,aves,na,na
Aphelocoma coerulescens,Bubo virginianus,77.12,1575.7,aves,aves,na,na
Callipepla californica,Bubo virginianus,165.7,1575.7,aves,aves,na,na
Antrozous pallidus,Bubo virginianus,21.5,1575.7,mammals,aves,bat,na
Sciurus griseus,Bubo virginianus,717.5,1575.7,mammals,aves,na,na
Neotoma fuscipes,Bubo virginianus,226.915,1575.7,mammals,aves,na,na
Dipodomys heermanni,Bubo virginianus,67.6,1575.7,mammals,aves,na,na
Thomomys bottae,Bubo virginianus,118.875,1575.7,mammals,aves,na,na
Spermophilus beecheyi,Bubo virginianus,588.25,1575.7,mammals,aves,na,na
Microtus californicus,Bubo virginianus,57.41,1575.7,mammals,aves,na,na
Didelphis virginiana,Bubo virginianus,2332.74,1575.7,mammals,aves,na,na
Spilogale gracilis,Bubo virginianus,466.5,1575.7,mammals,aves,na,na
Perdix perdix,Bubo virginianus,405.3,1575.7,aves,aves,na,na
Colinus virginianus,Bubo virginianus,177.6874419,1575.7,aves,aves,na,na
Zenaida macroura,Bubo virginianus,118.93,1575.7,aves,aves,na,na
Colaptes auratus,Bubo virginianus,131.46,1575.7,aves,aves,na,na
Quiscalus quiscula,Bubo virginianus,105.18,1575.7,aves,aves,na,na
Butorides striata,Bubo virginianus,201.5,1575.7,aves,aves,na,na
Aegolius acadicus,Bubo virginianus,100.69,1575.7,aves,aves,na,na
Buteo lineatus,Bubo virginianus,603.72,1575.7,aves,aves,na,na
Bucephala clangula,Bubo virginianus,918.56,1575.7,aves,aves,na,na
Parascalops breweri,Bubo virginianus,50.8,1575.7,mammals,aves,na,na
Blarina brevicauda,Bubo virginianus,23.2,1575.7,mammals,aves,na,na
Procyon lotor,Bubo virginianus,5947.485,1575.7,mammals,aves,na,na
Sciurus carolinensis,Bubo virginianus,526.25,1575.7,mammals,aves,na,na
Tamiasciurus hudsonicus,Bubo virginianus,200.585,1575.7,mammals,aves,na,na
Glaucomys volans,Bubo virginianus,67.935,1575.7,mammals,aves,na,na
Microtus pennsylvanicus,Bubo virginianus,39.625,1575.7,mammals,aves,na,na
Peromyscus leucopus,Bubo virginianus,19.635,1575.7,mammals,aves,na,na
Lagopus lagopus,Strix nebulosa,566.86,1061.89,aves,aves,na,na
Arvicola amphibius,Strix nebulosa,120,1061.89,mammals,aves,na,na
Myodes rufocanus,Strix nebulosa,36.43,1061.89,mammals,aves,na,na
Myodes glareolus,Strix nebulosa,20.73,1061.89,mammals,aves,na,na
Myopus schisticolor,Strix nebulosa,27.5,1061.89,mammals,aves,na,na
Sorex araneus,Strix nebulosa,9.415,1061.89,mammals,aves,na,na
Sorex isodon,Strix nebulosa,10.675,1061.89,mammals,aves,na,na
Sorex minutus,Strix nebulosa,4.32,1061.89,mammals,aves,na,na
Sorex minutissimus,Strix nebulosa,2.46,1061.89,mammals,aves,na,na
Microtus agrestis,Strix nebulosa,39.2,1061.89,mammals,aves,na,na
Microtus oeconomus,Strix nebulosa,33.74,1061.89,mammals,aves,na,na
Onychomys leucogaster,Strix nebulosa,27.91,1061.89,mammals,aves,na,na
Zapus princeps,Strix nebulosa,28.1,1061.89,mammals,aves,na,na
Myodes gapperi,Strix nebulosa,19.83,1061.89,mammals,aves,na,na
Tamiasciurus hudsonicus,Strix nebulosa,200.585,1061.89,mammals,aves,na,na
Peromyscus maniculatus,Strix nebulosa,20.69,1061.89,mammals,aves,na,na
Microtus richardsoni,Strix nebulosa,91.6,1061.89,mammals,aves,na,na
Microtus montanus,Strix nebulosa,39.615,1061.89,mammals,aves,na,na
Thomomys talpoides,Strix nebulosa,117.54,1061.89,mammals,aves,na,na
Turdus migratorius,Strix nebulosa,79.98562144,1061.89,aves,aves,na,na
Perisoreus canadensis,Strix nebulosa,71.58,1061.89,aves,aves,na,na
Buteo platypterus,Strix nebulosa,453.65,1061.89,aves,aves,na,na
Accipiter striatus,Strix nebulosa,130.59,1061.89,aves,aves,na,na
Lepus americanus,Strix nebulosa,1640.01,1061.89,mammals,aves,na,na
Mustela erminea,Strix nebulosa,201.69,1061.89,mammals,aves,na,na
Sorex hoyi,Strix nebulosa,2.93,1061.89,mammals,aves,na,na
Sorex arcticus,Strix nebulosa,8.04,1061.89,mammals,aves,na,na
Blarina brevicauda,Strix nebulosa,23.2,1061.89,mammals,aves,na,na
Sorex cinereus,Strix nebulosa,4.4,1061.89,mammals,aves,na,na
Tamias minimus,Strix nebulosa,89.085,1061.89,mammals,aves,na,na
Phenacomys intermedius,Strix nebulosa,25.2,1061.89,mammals,aves,na,na
Synaptomys borealis,Strix nebulosa,21.3,1061.89,mammals,aves,na,na
Microtus pennsylvanicus,Strix nebulosa,39.625,1061.89,mammals,aves,na,na
Condylura cristata,Strix nebulosa,65.55,1061.89,mammals,aves,na,na
Tamias amoenus,Strix nebulosa,50.6,1061.89,mammals,aves,na,na
Glaucomys volans,Strix nebulosa,67.935,1061.89,mammals,aves,na,na
Sciurus vulgaris,Strix nebulosa,333,1061.89,mammals,aves,na,na
Sceloporus olivaceus,Glaucidium brasilianum,28.96330902,75.1,reptilia,aves,na,na
Sceloporus variabilis,Glaucidium brasilianum,9.343522433,75.1,reptilia,aves,na,na
Holbrookia propinqua,Glaucidium brasilianum,4.551724603,75.1,reptilia,aves,na,na
Plestiodon obsoletus,Glaucidium brasilianum,29.54518014,75.1,reptilia,aves,na,na
Scincella lateralis,Glaucidium brasilianum,1.824152301,75.1,reptilia,aves,na,na
Plestiodon tetragrammus,Glaucidium brasilianum,4.59929771,75.1,reptilia,aves,na,na
Dipodomys compactus,Glaucidium brasilianum,49.225,75.1,mammals,aves,na,na
Baiomys taylori,Glaucidium brasilianum,7.72,75.1,mammals,aves,na,na
Mus musculus,Glaucidium brasilianum,17.775,75.1,mammals,aves,na,na
Chaetodipus hispidus,Glaucidium brasilianum,32,75.1,mammals,aves,na,na
Sigmodon hispidus,Glaucidium brasilianum,101.69,75.1,mammals,aves,na,na
Nycticeius humeralis,Glaucidium brasilianum,9.05,75.1,mammals,aves,bat,na
Thryomanes bewickii,Glaucidium brasilianum,9.9,75.1,aves,aves,na,na
Passerina caerulea,Glaucidium brasilianum,27.39,75.1,aves,aves,na,na
Sturnella magna,Glaucidium brasilianum,91.76,75.1,aves,aves,na,na
Cardinalis sinuatus,Glaucidium brasilianum,35.19,75.1,aves,aves,na,na
Cardinalis cardinalis,Glaucidium brasilianum,42.64,75.1,aves,aves,na,na
Mimus polyglottos,Glaucidium brasilianum,47.6602606,75.1,aves,aves,na,na
Cardinalis cardinalis,Megascops asio,42.64,179.99,aves,aves,na,na
Quiscalus quiscula,Megascops asio,105.18,179.99,aves,aves,na,na
Turdus migratorius,Megascops asio,79.98562144,179.99,aves,aves,na,na
Sialia sialis,Megascops asio,27.5,179.99,aves,aves,na,na
Cyanocitta cristata,Megascops asio,88,179.99,aves,aves,na,na
Mus musculus,Megascops asio,17.775,179.99,mammals,aves,na,na
Microtus ochrogaster,Megascops asio,40.255,179.99,mammals,aves,na,na
Microtus pennsylvanicus,Megascops asio,39.625,179.99,mammals,aves,na,na
Peromyscus leucopus,Megascops asio,19.635,179.99,mammals,aves,na,na
Reithrodontomys humulis,Megascops asio,8.28,179.99,mammals,aves,na,na
Glaucomys volans,Megascops asio,67.935,179.99,mammals,aves,na,na
Cryptotis parva,Megascops asio,4.915,179.99,mammals,aves,na,na
Blarina brevicauda,Megascops asio,23.2,179.99,mammals,aves,na,na
Lithobates sylvaticus,Megascops asio,16,179.99,amphibians,aves,na,na
Lithobates pipiens,Megascops asio,39.2,179.99,amphibians,aves,na,na
Sciurus vulgaris,Megascops asio,333,179.99,mammals,aves,na,na
Myotis lucifugus,Megascops asio,7.71,179.99,mammals,aves,bat,na
Peromyscus maniculatus,Megascops asio,20.69,179.99,mammals,aves,na,na
Pheucticus ludovicianus,Megascops asio,42,179.99,aves,aves,na,na
Pinicola enucleator,Megascops asio,56.4,179.99,aves,aves,na,na
Icterus galbula,Megascops asio,32.83,179.99,aves,aves,na,na
Zonotrichia albicollis,Megascops asio,24.4,179.99,aves,aves,na,na
Rallus limicola,Megascops asio,84.1,179.99,aves,aves,na,na
Junco hyemalis,Megascops asio,19.5,179.99,aves,aves,na,na
Troglodytes aedon,Megascops asio,10.85,179.99,aves,aves,na,na
Sturnus vulgaris,Megascops asio,77.14,179.99,aves,aves,na,na
Lanius excubitor,Megascops asio,63.41,179.99,aves,aves,na,na
Vermivora peregrina,Megascops asio,8.9,179.99,aves,aves,na,na
Picoides pubescens,Megascops asio,25.55,179.99,aves,aves,na,na
Picoides villosus,Megascops asio,62.65,179.99,aves,aves,na,na
Columba livia,Megascops asio,354.2,179.99,aves,aves,na,na
Sitta carolinensis,Megascops asio,21,179.99,aves,aves,na,na
Setophaga ruticilla,Megascops asio,8.24,179.99,aves,aves,na,na
Bombycilla cedrorum,Megascops asio,31.58,179.99,aves,aves,na,na
Passer domesticus,Megascops asio,26.51,179.99,aves,aves,na,na
Onychomys leucogaster,Asio otus,27.91,296.57,mammals,aves,na,na
Mus musculus,Asio otus,17.775,296.57,mammals,aves,na,na
Microtus ochrogaster,Asio otus,40.255,296.57,mammals,aves,na,na
Microtus pennsylvanicus,Asio otus,39.625,296.57,mammals,aves,na,na
Microtus ochrogaster,Bubo virginianus,40.255,1575.7,mammals,aves,na,na
Onychomys leucogaster,Bubo virginianus,27.91,1575.7,mammals,aves,na,na
Microtus ochrogaster,Athene cunicularia,40.255,150.61,mammals,aves,na,na
Peromyscus maniculatus,Athene cunicularia,20.69,150.61,mammals,aves,na,na
Emberiza citrinella,Aegolius funereus,29.7,137.18,aves,aves,na,na
Fringilla coelebs,Aegolius funereus,23.81,137.18,aves,aves,na,na
Erithacus rubecula,Aegolius funereus,17.7,137.18,aves,aves,na,na
Turdus philomelos,Aegolius funereus,67.74,137.18,aves,aves,na,na
Sorex araneus,Aegolius funereus,9.415,137.18,mammals,aves,na,na
Sorex minutus,Aegolius funereus,4.32,137.18,mammals,aves,na,na
Neomys fodiens,Aegolius funereus,14.55,137.18,mammals,aves,na,na
Arvicola amphibius,Aegolius funereus,120,137.18,mammals,aves,na,na
Myodes glareolus,Aegolius funereus,20.73,137.18,mammals,aves,na,na
Microtus agrestis,Aegolius funereus,39.2,137.18,mammals,aves,na,na
Microtus rossiaemeridionalis,Aegolius funereus,35.5,137.18,mammals,aves,na,na
Micromys minutus,Aegolius funereus,6.5,137.18,mammals,aves,na,na
Mus musculus,Aegolius funereus,17.775,137.18,mammals,aves,na,na
Parus major,Aegolius funereus,16.25,137.18,aves,aves,na,na
Phylloscopus trochilus,Aegolius funereus,8.7,137.18,aves,aves,na,na
Turdus iliacus,Aegolius funereus,61.2,137.18,aves,aves,na,na
Zapus princeps,Aegolius funereus,28.1,137.18,mammals,aves,na,na
Tamias amoenus,Aegolius funereus,50.6,137.18,mammals,aves,na,na
Phenacomys intermedius,Aegolius funereus,25.2,137.18,mammals,aves,na,na
Peromyscus maniculatus,Aegolius funereus,20.69,137.18,mammals,aves,na,na
Myodes gapperi,Aegolius funereus,19.83,137.18,mammals,aves,na,na
Thomomys talpoides,Aegolius funereus,117.54,137.18,mammals,aves,na,na
Glaucomys sabrinus,Aegolius funereus,152,137.18,mammals,aves,na,na
Lithobates sylvaticus,Strix varia,16,711.49,amphibians,aves,na,na
Junco hyemalis,Strix varia,19.5,711.49,aves,aves,na,na
Zonotrichia albicollis,Strix varia,24.4,711.49,aves,aves,na,na
Geothlypis trichas,Strix varia,9.54,711.49,aves,aves,na,na
Catharus ustulatus,Strix varia,30.3,711.49,aves,aves,na,na
Perisoreus canadensis,Strix varia,71.58,711.49,aves,aves,na,na
Colaptes auratus,Strix varia,131.46,711.49,aves,aves,na,na
Sorex palustris,Strix varia,13.175,711.49,mammals,aves,na,na
Peromyscus maniculatus,Strix varia,20.69,711.49,mammals,aves,na,na
Myodes gapperi,Strix varia,19.83,711.49,mammals,aves,na,na
Microtus pennsylvanicus,Strix varia,39.625,711.49,mammals,aves,na,na
Microtus longicaudus,Strix varia,45.755,711.49,mammals,aves,na,na
Neotoma cinerea,Strix varia,292.575,711.49,mammals,aves,na,na
Tamiasciurus hudsonicus,Strix varia,200.585,711.49,mammals,aves,na,na
Glaucomys sabrinus,Strix varia,152,711.49,mammals,aves,na,na
Ambystoma tigrinum,Pelecanus erythrorhynchos,51.34366071,5772.794762,amphibians,aves,na,na
Plestiodon inexpectatus,Lanius ludovicianus,8.52381377,51.59,reptilia,aves,na,na
Scincella lateralis,Lanius ludovicianus,1.824152301,51.59,reptilia,aves,na,na
Anolis carolinensis,Lanius ludovicianus,3.396134597,51.59,reptilia,aves,na,na
Lithobates sphenocephalus,Lanius ludovicianus,37.425,51.59,amphibians,aves,na,na
Gastrophryne carolinensis,Lanius ludovicianus,2.27,51.59,amphibians,aves,na,na
Hyla squirella,Lanius ludovicianus,2.54,51.59,amphibians,aves,na,na
Hyla cinerea,Lanius ludovicianus,8.637087912,51.59,amphibians,aves,na,na
Mus musculus,Lanius excubitor,17.775,63.41,mammals,aves,na,na
Microtus pennsylvanicus,Lanius excubitor,39.625,63.41,mammals,aves,na,na
Microtus longicaudus,Lanius excubitor,45.755,63.41,mammals,aves,na,na
Peromyscus maniculatus,Lanius excubitor,20.69,63.41,mammals,aves,na,na
Reithrodontomys megalotis,Lanius excubitor,10.035,63.41,mammals,aves,na,na
Sorex vagrans,Lanius excubitor,5.89,63.41,mammals,aves,na,na
Passer domesticus,Lanius excubitor,26.51,63.41,aves,aves,na,na
Carduelis pinus,Lanius excubitor,12.7,63.41,aves,aves,na,na
Junco hyemalis,Lanius excubitor,19.5,63.41,aves,aves,na,na
Zonotrichia leucophrys,Lanius excubitor,28,63.41,aves,aves,na,na
Spizella breweri,Lanius excubitor,10.9,63.41,aves,aves,na,na
Sturnus vulgaris,Lanius excubitor,77.14,63.41,aves,aves,na,na
Eremophila alpestris,Lanius excubitor,33.33,63.41,aves,aves,na,na
Microtus californicus,Asio flammeus,57.41,322.61,mammals,aves,na,na
Aegolius acadicus,Asio flammeus,100.69,322.61,aves,aves,na,na
Phalaropus fulicarius,Asio flammeus,55.59,322.61,aves,aves,na,na
Calidris minutilla,Asio flammeus,22.88,322.61,aves,aves,na,na
Calidris alpina,Asio flammeus,51.89,322.61,aves,aves,na,na
Charadrius vociferus,Asio flammeus,96.44,322.61,aves,aves,na,na
Microtus californicus,Asio otus,57.41,296.57,mammals,aves,na,na
Calidris minutilla,Asio otus,22.88,296.57,aves,aves,na,na
Calidris alpina,Asio otus,51.89,296.57,aves,aves,na,na
Calidris alpina,Bubo virginianus,51.89,1575.7,aves,aves,na,na
Microtus californicus,Falco columbarius,57.41,188.5,mammals,aves,na,na
Melospiza melodia,Falco columbarius,21.91,188.5,aves,aves,na,na
Sialia mexicana,Falco columbarius,26.44,188.5,aves,aves,na,na
Certhia americana,Falco columbarius,8.1,188.5,aves,aves,na,na
Phalaropus fulicarius,Falco columbarius,55.59,188.5,aves,aves,na,na
Agelaius phoeniceus,Falco columbarius,50.78,188.5,aves,aves,na,na
Phalaropus lobatus,Falco columbarius,36.68,188.5,aves,aves,na,na
Passerculus sandwichensis,Falco columbarius,19.97,188.5,aves,aves,na,na
Anthus spinoletta,Falco columbarius,23.9,188.5,aves,aves,na,na
Calidris minutilla,Falco sparverius,22.88,114.61,aves,aves,na,na
Anthus spinoletta,Falco sparverius,23.9,114.61,aves,aves,na,na
Passerculus sandwichensis,Falco sparverius,19.97,114.61,aves,aves,na,na
Zonotrichia leucophrys,Falco sparverius,28,114.61,aves,aves,na,na
Microtus californicus,Falco sparverius,57.41,114.61,mammals,aves,na,na
Calidris minutilla,Falco columbarius,22.88,188.5,aves,aves,na,na
Calidris alpina,Falco columbarius,51.89,188.5,aves,aves,na,na
Calidris mauri,Falco columbarius,27.82,188.5,aves,aves,na,na
Calidris alba,Falco columbarius,51.71,188.5,aves,aves,na,na
Lithobates pipiens,Falco sparverius,39.2,114.61,amphibians,aves,na,na
Perognathus flavus,Falco sparverius,7.855,114.61,mammals,aves,na,na
Baiomys taylori,Falco sparverius,7.72,114.61,mammals,aves,na,na
Sceloporus undulatus,Gymnorhinus cyanocephalus,11.37850564,104.82,reptilia,aves,na,na
Mus musculus,Corvus hawaiiensis,17.775,518.82,mammals,aves,na,na
Lemmiscus curtatus,Corvus corax,28.285,927.97,mammals,aves,na,na
Lepus californicus,Corvus corax,2421.24,927.97,mammals,aves,na,na
Ondatra zibethicus,Corvus corax,1028.875,927.97,mammals,aves,na,na
Bos taurus,Corvus corax,756500,927.97,mammals,aves,na,na
Thomomys talpoides,Corvus corax,117.54,927.97,mammals,aves,na,na
Gopherus agassizii,Corvus corax,2851.702285,927.97,reptilia,aves,na,na
Microtus pennsylvanicus,Pica hudsonia,39.625,177.12,mammals,aves,na,na
