"","source_taxon_external_id","source_taxon_name","source_taxon_path","source_specimen_life_stage","interaction_type","target_taxon_external_id","target_taxon_name","target_taxon_path","target_specimen_life_stage","latitude","longitude","study_citation","study_source_citation"
"877","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:61019","Grewia","Plantae | Tracheophyta | Magnoliopsida | Malvales | Malvaceae | grewia",NA,NA,NA,NA,NA
"878","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:72159","Digitaria","Animalia | Mollusca | Bivalvia | Carditoida | Crassatelloidea | Astartidae | Digitaria",NA,NA,NA,NA,NA
"879","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:108119","Brachiaria","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | brachiaria",NA,NA,NA,NA,NA
"880","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:34643","Sansevieria","Plantae | Tracheophyta | Liliopsida | Asparagales | Asparagaceae | sansevieria",NA,NA,NA,NA,NA
"881","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:60741","Hibiscus","Plantae | Tracheophyta | Magnoliopsida | Malvales | Malvaceae | hibiscus",NA,NA,NA,NA,NA
"882","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:61788","Jasminum","Plantae | Tracheophyta | Magnoliopsida | Lamiales | Oleaceae | Jasminum",NA,NA,NA,NA,NA
"883","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL_V2:71367","Abutilon","Plantae | Tracheophyta | Magnoliopsida | Malvales | Malvaceae | abutilon",NA,NA,NA,NA,NA
"884","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:108217","Sporobolus","Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Sporobolus",NA,NA,NA,NA,NA
"885","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:5427028","Combretum molle","Cellular organisms | Eukaryota | Viridiplantae | Streptophyta | Streptophytina | Embryophyta | Tracheophyta | Euphyllophyta | Spermatophyta | Magnoliophyta | Mesangiospermae | Eudicotyledons | Gunneridae | Pentapetalae | Rosids | Malvids | Myrtales | Combretaceae | Combretum | Combretum molle",NA,NA,NA,NA,NA
"886","EOL:326384","Procavia capensis","Animalia | Chordata | Mammalia | Hyracoidea | Procaviidae | Procavia | Procavia capensis",NA,"preysOn","EOL:590598","Cissus rotundifolia","Plantae | Tracheophyta | Magnoliopsida | Vitales | Vitaceae | Cissus | Cissus rotundifolia",NA,NA,NA,NA,NA
